epoch,train_loss,train_accuracy,train_feature_drift,train_cached_forward_fraction,projection_count,train_elr_regularization,train_elr_weight,raw_micro,raw_macro,trusted_micro,trusted_macro,proxy_micro,proxy_macro,clean_core_micro,clean_core_macro,clean_core_samples,flip_prediction_agreement,mean_feature_drift,selector,head_lr,visual_lr
1,0.5761542041682512,0.7606338066779977,0.038373031092811635,0.0,0,0.0,0.0,0.692501425743103,0.69256192445755,0.692501425743103,0.69256192445755,0.692501425743103,0.69256192445755,0.692501425743103,0.69256192445755,10322,0.8781244158744812,0.002091050148010254,0.692501425743103,0.005,2e-05
2,0.5647431814537883,0.7630462196392346,0.03943074290850058,0.0,0,0.0,0.0,0.694826602935791,0.694852352142334,0.694826602935791,0.694852352142334,0.694826602935791,0.694852352142334,0.694826602935791,0.694852352142334,10322,0.8808370232582092,0.0026290416717529297,0.694826602935791,0.004527317061077995,1.8109268244311982e-05
3,0.5496995782648251,0.7697571138768573,0.039049524505107416,0.0,0,0.0,0.0,0.6968610882759094,0.6968333125114441,0.6968610882759094,0.6968333125114441,0.6968610882759094,0.6968333125114441,0.6968610882759094,0.6968333125114441,10322,0.8774462342262268,0.0028246045112609863,0.6968610882759094,0.0032898170610779947,1.315926824431198e-05
4,0.5403671653380918,0.7751411809857996,0.0391390256161713,0.0,0,0.0,0.0,0.698604941368103,0.6986428499221802,0.698604941368103,0.6986428499221802,0.698604941368103,0.6986428499221802,0.698604941368103,0.6986428499221802,10322,0.878415048122406,0.003036975860595703,0.698604941368103,0.0017601829389220054,7.0407317556880214e-06
5,0.5350699385531188,0.7794615932891058,0.038961403245328256,0.0,0,0.0,0.0,0.6996706128120422,0.6996999979019165,0.6996706128120422,0.6996999979019165,0.6996706128120422,0.6996999979019165,0.6996706128120422,0.6996999979019165,10322,0.8760899305343628,0.0029575228691101074,0.6996706128120422,0.0005226829389220053,2.0907317556880214e-06
6,0.5320544051727945,0.7814573167388563,0.039136452090289875,0.0,0,0.0,0.0,0.6991862058639526,0.6992095112800598,0.6991862058639526,0.6992095112800598,0.6991862058639526,0.6992095112800598,0.6991862058639526,0.6992095112800598,10322,0.8765742778778076,0.002979755401611328,0.6991862058639526,5e-05,2.0000000000000002e-07
