epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.428501,0.810419,0.546896,0.730903,,,0,0.00005000,0.00000250,0.023262,0.000000,143.56
2,0.428551,0.810408,0.547087,0.730807,,,0,0.00010000,0.00000500,0.023258,0.000000,146.61
3,0.428485,0.810484,0.547281,0.730613,,,0,0.00009758,0.00000488,0.023258,0.000000,150.88
4,0.428304,0.810561,0.547454,0.730322,,,0,0.00009055,0.00000453,0.023278,0.000000,152.53
5,0.428133,0.810703,0.547594,0.730225,,,0,0.00007960,0.00000398,0.023217,0.000000,150.98
6,0.427975,0.810780,0.547689,0.729740,,,0,0.00006580,0.00000329,0.023225,0.000000,148.97
