epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.973107,0.769446,0.881750,0.796263,0.00005000,0.00000500,0.005315,0.999986,140.54
2,0.956991,0.772164,0.886529,0.793397,0.00010000,0.00001000,0.005339,0.999986,151.30
3,0.911091,0.779704,0.875989,0.795077,0.00009989,0.00000999,0.005286,nan,148.17
4,0.848126,0.792282,0.877069,0.794879,0.00009958,0.00000996,0.005113,0.999987,148.59
5,0.785486,0.804773,0.874447,0.791914,0.00009905,0.00000990,0.004928,0.999988,155.45
6,0.727560,0.815998,0.882908,0.792112,0.00009831,0.00000983,0.004709,nan,154.89
7,0.671451,0.830852,0.892316,0.788355,0.00009737,0.00000974,0.004485,0.999990,152.47
