class_idx,baseline_acc,tta_acc,delta
185,0.857143,0.904762,0.047619
186,0.950000,0.950000,0.000000
187,0.800000,0.800000,0.000000
188,0.700000,0.700000,0.000000
189,0.750000,0.800000,0.050000
190,0.809524,0.857143,0.047619
191,0.857143,0.857143,0.000000
192,0.809524,0.809524,0.000000
193,0.700000,0.700000,0.000000
194,0.850000,0.800000,-0.050000
195,0.380952,0.333333,-0.047619
196,0.761905,0.761905,0.000000
197,0.571429,0.666667,0.095238
198,0.450000,0.450000,0.000000
199,0.650000,0.650000,0.000000
200,0.809524,0.761905,-0.047619
201,0.857143,0.809524,-0.047619
202,0.400000,0.450000,0.050000
203,0.714286,0.714286,0.000000
204,1.000000,0.952381,-0.047619
205,0.809524,0.714286,-0.095238
206,0.900000,0.900000,0.000000
207,0.850000,0.850000,0.000000
208,0.857143,0.857143,0.000000
209,0.904762,0.904762,0.000000
210,0.350000,0.400000,0.050000
211,0.619048,0.619048,0.000000
212,0.619048,0.619048,0.000000
213,0.772727,0.727273,-0.045455
214,0.285714,0.285714,0.000000
215,0.857143,0.809524,-0.047619
216,0.666667,0.714286,0.047619
217,0.476190,0.476190,0.000000
218,0.600000,0.600000,0.000000
219,0.800000,0.850000,0.050000
220,0.600000,0.600000,0.000000
221,0.400000,0.500000,0.100000
222,0.450000,0.450000,0.000000
223,0.800000,0.800000,0.000000
224,0.714286,0.666667,-0.047619
225,1.000000,0.950000,-0.050000
226,0.476190,0.428571,-0.047619
227,0.809524,0.809524,0.000000
228,0.761905,0.809524,0.047619
229,0.714286,0.619048,-0.095238
230,0.761905,0.809524,0.047619
231,1.000000,1.000000,0.000000
232,0.952381,0.952381,0.000000
233,0.450000,0.450000,0.000000
234,0.761905,0.761905,0.000000
235,0.714286,0.714286,0.000000
236,0.772727,0.818182,0.045455
237,0.800000,0.800000,0.000000
238,0.571429,0.571429,0.000000
239,0.850000,0.850000,0.000000
240,0.600000,0.550000,-0.050000
241,0.200000,0.200000,0.000000
242,0.666667,0.619048,-0.047619
243,0.700000,0.700000,0.000000
244,0.850000,0.850000,0.000000
245,0.761905,0.761905,0.000000
246,0.952381,0.904762,-0.047619
247,0.600000,0.650000,0.050000
248,0.750000,0.700000,-0.050000
249,0.600000,0.650000,0.050000
250,0.600000,0.600000,0.000000
251,0.761905,0.761905,0.000000
252,0.850000,0.850000,0.000000
253,0.809524,0.809524,0.000000
254,0.950000,0.950000,0.000000
255,0.857143,0.904762,0.047619
256,0.454545,0.454545,0.000000
257,0.850000,0.850000,0.000000
258,0.952381,0.952381,0.000000
259,0.857143,0.857143,0.000000
260,0.904762,0.952381,0.047619
261,0.619048,0.619048,0.000000
262,0.714286,0.714286,0.000000
263,0.500000,0.500000,0.000000
264,0.700000,0.750000,0.050000
265,0.952381,1.000000,0.047619
266,0.000000,0.000000,0.000000
267,0.571429,0.619048,0.047619
268,0.800000,0.800000,0.000000
269,0.850000,0.850000,0.000000
270,0.850000,0.850000,0.000000
271,0.761905,0.761905,0.000000
272,0.900000,0.900000,0.000000
273,0.904762,0.904762,0.000000
274,0.700000,0.650000,-0.050000
275,0.761905,0.761905,0.000000
276,0.809524,0.809524,0.000000
277,0.809524,0.809524,0.000000
278,0.772727,0.727273,-0.045455
279,0.500000,0.450000,-0.050000
280,0.350000,0.400000,0.050000
281,0.904762,0.904762,0.000000
282,0.523810,0.523810,0.000000
283,0.666667,0.761905,0.095238
284,0.809524,0.809524,0.000000
285,0.400000,0.400000,0.000000
286,0.409091,0.454545,0.045455
287,0.761905,0.714286,-0.047619
288,0.809524,0.761905,-0.047619
289,0.952381,0.952381,0.000000
290,0.714286,0.714286,0.000000
291,0.904762,0.952381,0.047619
292,0.952381,0.952381,0.000000
293,0.904762,0.952381,0.047619
294,0.523810,0.523810,0.000000
295,0.952381,0.952381,0.000000
296,0.666667,0.666667,0.000000
297,0.700000,0.650000,-0.050000
298,0.650000,0.750000,0.100000
299,0.750000,0.750000,0.000000
300,0.761905,0.761905,0.000000
301,0.800000,0.800000,0.000000
302,0.350000,0.300000,-0.050000
303,0.800000,0.750000,-0.050000
304,0.300000,0.300000,0.000000
305,0.714286,0.761905,0.047619
306,0.809524,0.714286,-0.095238
307,0.700000,0.750000,0.050000
308,0.952381,0.952381,0.000000
309,0.800000,0.800000,0.000000
310,0.650000,0.650000,0.000000
311,0.857143,0.857143,0.000000
312,0.190476,0.285714,0.095238
313,0.619048,0.619048,0.000000
314,0.904762,0.904762,0.000000
315,0.571429,0.619048,0.047619
316,0.619048,0.666667,0.047619
317,0.952381,0.904762,-0.047619
318,0.809524,0.904762,0.095238
319,0.850000,0.850000,0.000000
320,0.952381,0.952381,0.000000
321,0.571429,0.666667,0.095238
322,0.650000,0.750000,0.100000
323,0.600000,0.650000,0.050000
324,0.700000,0.600000,-0.100000
325,0.850000,0.900000,0.050000
326,0.250000,0.250000,0.000000
327,0.454545,0.409091,-0.045455
328,0.952381,0.904762,-0.047619
329,0.650000,0.700000,0.050000
330,1.000000,1.000000,0.000000
331,0.650000,0.750000,0.100000
332,0.850000,0.850000,0.000000
333,0.500000,0.400000,-0.100000
334,0.789474,0.684211,-0.105263
335,0.809524,0.809524,0.000000
336,0.809524,0.809524,0.000000
337,0.136364,0.136364,0.000000
338,0.400000,0.400000,0.000000
339,0.857143,0.904762,0.047619
340,0.761905,0.809524,0.047619
341,0.850000,0.800000,-0.050000
342,0.500000,0.500000,0.000000
343,0.523810,0.571429,0.047619
344,0.400000,0.400000,0.000000
345,0.857143,0.857143,0.000000
346,1.000000,1.000000,0.000000
347,0.166667,0.222222,0.055556
348,0.857143,0.857143,0.000000
349,0.526316,0.578947,0.052632
350,0.850000,0.900000,0.050000
