original_label,sample_count,oof_accuracy,mean_p_original,mean_quality,mean_soft_weight,low_weight_fraction
0,191,0.9109947643979057,0.8581895,0.6056282742465822,0.7239397919726074,0.09424083769633508
1,183,0.6284153005464481,0.5631972,0.5095628427555327,0.6566939899288728,0.22404371584699453
2,190,0.6578947368421053,0.5649411,0.5151315801767142,0.6605921061236999,0.25263157894736843
3,175,0.2914285714285714,0.2147692,0.44985714344467437,0.614900000411272,0.25142857142857145
4,185,0.9405405405405406,0.8837014,0.631216219174298,0.7418513534220086,0.07027027027027027
5,184,0.41847826086956524,0.31639373,0.4552989137986594,0.6187092396590615,0.24456521739130435
6,186,0.8494623655913979,0.78295326,0.6091397864023044,0.726397850481613,0.13440860215053763
7,181,0.8839779005524862,0.8224129,0.5917127093310515,0.714198896531736,0.143646408839779
8,191,0.9528795811518325,0.8969714,0.622905761110767,0.7360340327775369,0.09424083769633508
9,184,0.8586956521739131,0.79465,0.5922554373882872,0.7145788061718011,0.13043478260869565
10,191,0.837696335078534,0.7264336,0.5357329862436075,0.6750130903705251,0.1518324607329843
11,185,0.8054054054054054,0.73023736,0.5678378397910981,0.6974864878537688,0.20540540540540542
12,191,0.9214659685863874,0.87924737,0.6391361274000706,0.7473952891800494,0.1099476439790576
13,150,0.14,0.13106516,0.4438333338374893,0.6106833336862424,0.25333333333333335
14,184,0.45108695652173914,0.37342432,0.49347826216734303,0.6454347835171401,0.21739130434782608
15,187,0.8449197860962567,0.7705529,0.5622994667048601,0.6936096266934021,0.1657754010695187
16,186,0.27419354838709675,0.20225658,0.44072580672199685,0.6085080647053978,0.22580645161290322
17,186,0.6182795698924731,0.544546,0.5443548404401348,0.6810483883080943,0.12903225806451613
18,184,0.7608695652173914,0.6412672,0.5107336969681732,0.6575135878777212,0.20108695652173914
19,185,0.8432432432432433,0.7790046,0.602837839871645,0.7219864879101514,0.14594594594594595
20,182,0.7582417582417582,0.6566841,0.5366758255595034,0.6756730778916524,0.17032967032967034
21,185,0.21621621621621623,0.1343391,0.41945945973130494,0.5936216218119135,0.23783783783783785
22,190,0.7368421052631579,0.6234702,0.5427631596456233,0.6799342117519361,0.22631578947368422
23,182,0.3956043956043956,0.31122902,0.4759615393703456,0.6331730775592418,0.24175824175824176
24,186,0.8817204301075269,0.7676104,0.5575268834248506,0.6902688183973953,0.12903225806451613
25,184,0.842391304347826,0.74637944,0.5735054369975368,0.7014538058982758,0.11956521739130435
26,187,0.5026737967914439,0.4532802,0.529679145817371,0.6707754020721597,0.21390374331550802
27,186,0.3978494623655914,0.29069772,0.4517473126170776,0.6162231188319544,0.25268817204301075
28,190,0.7473684210526316,0.671913,0.5397368438483069,0.6778157906938147,0.24210526315789474
29,186,0.6505376344086021,0.57030296,0.5173387112095952,0.6621370978467166,0.20967741935483872
30,182,0.9560439560439561,0.9402532,0.6762362644137753,0.7733653850896427,0.07692307692307693
31,186,0.7956989247311828,0.710291,0.5723118298656998,0.7006182809059899,0.14516129032258066
32,189,0.8835978835978836,0.8076758,0.5810846580497959,0.7067592606348572,0.13227513227513227
33,174,0.26436781609195403,0.19308089,0.4418103453756749,0.6092672417629724,0.27586206896551724
34,186,0.7956989247311828,0.7414339,0.5587365606118755,0.6911155924283129,0.22043010752688172
35,190,0.6578947368421053,0.5707753,0.5127631593142685,0.6589342115199879,0.2631578947368421
36,184,0.657608695652174,0.5881328,0.5498641313559821,0.6849048919491875,0.23369565217391305
37,183,0.9726775956284153,0.95961,0.6687158489223224,0.7681010942456257,0.0546448087431694
38,182,0.6593406593406593,0.59074,0.5409340678970074,0.6786538475279051,0.2032967032967033
39,187,0.6256684491978609,0.4896845,0.4973262044476634,0.6481283431133643,0.25668449197860965
40,186,0.4838709677419355,0.35857806,0.4846774203742864,0.6392741942620005,0.20967741935483872
41,183,0.7540983606557377,0.69548357,0.5430327886705353,0.6801229520693747,0.21311475409836064
42,168,0.4642857142857143,0.3967292,0.49940476311769866,0.6495833341823891,0.22023809523809523
43,190,0.7473684210526316,0.61640996,0.5277631590985938,0.6694342113690156,0.2
44,180,0.8222222222222222,0.76399577,0.5822222240145009,0.7075555568101505,0.18333333333333332
45,191,0.6910994764397905,0.5684241,0.526570681866785,0.6685994773067494,0.24607329842931938
46,184,0.8913043478260869,0.8173614,0.5737771760166177,0.7016440232116324,0.15760869565217392
47,189,0.5291005291005291,0.38988903,0.4702380962413612,0.6291666673689529,0.24338624338624337
48,190,0.5473684210526316,0.48056215,0.5011842119478082,0.6508289483634657,0.2789473684210526
49,182,0.46703296703296704,0.3635779,0.4747252755706291,0.6323076928994403,0.25274725274725274
50,183,0.8469945355191257,0.8036099,0.5734972697484201,0.7014480888238941,0.16393442622950818
51,189,0.4603174603174603,0.33681944,0.4648148156820781,0.6253703709774546,0.20634920634920634
52,190,0.6,0.48544255,0.50973684339539,0.656815790376773,0.20526315789473684
53,184,0.7934782608695652,0.7336326,0.5832880455798105,0.7083016319058674,0.18478260869565216
54,191,0.837696335078534,0.7965957,0.5998691115625866,0.7199083780938106,0.15706806282722513
55,186,0.9086021505376344,0.84517604,0.6219086049885679,0.7353360234919974,0.0913978494623656
56,184,0.6847826086956522,0.58431804,0.5217391315645173,0.6652173920951622,0.21739130434782608
57,182,0.46703296703296704,0.33729604,0.48186813297957837,0.6373076930857048,0.2087912087912088
58,183,0.9289617486338798,0.920486,0.6724043722401877,0.7706830605681314,0.06557377049180328
59,177,0.4915254237288136,0.42334285,0.4782485884398559,0.6347740119078991,0.288135593220339
60,180,0.5388888888888889,0.4260494,0.4848611122100718,0.6394027785470502,0.25555555555555554
61,186,0.45161290322580644,0.35786992,0.4877688180975696,0.6414381726682987,0.26881720430107525
62,184,0.875,0.80863523,0.6115489154628924,0.7280842408240247,0.13043478260869565
63,191,0.7958115183246073,0.6699905,0.5462041901687833,0.6823429331181483,0.14136125654450263
64,187,0.7005347593582888,0.6301218,0.5602941190893637,0.6922058833625546,0.20855614973262032
65,181,0.39779005524861877,0.30599275,0.46284530496029236,0.6239917134722046,0.30386740331491713
66,186,0.8440860215053764,0.7789474,0.5776881740758977,0.7043817218531283,0.17204301075268819
67,182,0.7912087912087912,0.6856903,0.5567307707638695,0.6897115395347085,0.14285714285714285
68,182,0.8021978021978022,0.66752774,0.5760989032685756,0.703269232288003,0.14285714285714285
69,156,0.6923076923076923,0.6151202,0.5307692322283029,0.6715384625598119,0.24358974358974358
70,182,0.7252747252747253,0.6462898,0.5674450567872314,0.697211539751062,0.23076923076923078
