epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.425374,0.812947,0.562231,0.711516,,,0,0.00005000,0.00000000,0.022149,0.000000,226.18
2,0.433235,0.812903,0.562216,0.710838,,,0,0.00010000,0.00000000,0.022155,0.000000,223.20
3,0.452174,0.812892,0.562183,0.711225,,,0,0.00009969,0.00000000,0.022168,0.000000,224.15
4,0.491535,0.812979,0.562169,0.711419,,,0,0.00009876,0.00000000,0.022230,0.000000,225.31
5,0.552150,0.812947,0.562207,0.711419,,,0,0.00009722,0.00000000,0.022324,0.000000,223.79
6,0.612382,0.813176,0.562291,0.711516,,,0,0.00009510,0.00000000,nan,0.000000,223.05
