label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
89,16,150,0.0406376943,0.8125,0.875,-0.0625
90,18,166,0.03208654001,0.944444418,0.8888888955,0.05555552244
91,17,151,0.04564509913,0.470588237,0.2352941185,0.2352941185
92,18,161,0.04879934713,0.8888888955,0.777777791,0.1111111045
93,18,160,0.02723318338,0.722222209,0.6111111045,0.1111111045
94,22,200,0.03208231926,0.8181818128,0.7272727489,0.09090906382
95,25,223,0.04299327731,0.8799999952,0.7599999905,0.1200000048
96,20,179,0.03168559447,0.9499999881,0.8500000238,0.09999996424
97,15,136,0.04598299041,0.7333333492,0.6000000238,0.1333333254
98,17,150,0.02375322208,0.9411764741,0.9411764741,0
99,20,180,0.03615992516,0.8000000119,0.8000000119,0
100,19,172,0.03462367132,0.8421052694,0.7894737124,0.05263155699
101,19,168,0.04665070772,0.6315789223,0.5789473653,0.05263155699
102,17,150,0.02788961306,0.8823529482,0.8235294223,0.05882352591
103,23,209,0.03787293285,0.8695651889,0.8695651889,0
104,18,158,0.03877970204,0.6666666865,0.6666666865,0
105,24,216,0.03334918991,0.8333333135,0.75,0.08333331347
106,24,216,0.05479547381,0.5833333135,0.375,0.2083333135
107,20,175,0.03219095245,0.6999999881,0.6999999881,0
108,17,153,0.03457188979,0.8235294223,0.7647058964,0.05882352591
109,24,212,0.02237685956,0.875,0.8333333135,0.04166668653
110,22,199,0.02787943371,0.9090909362,0.8636363745,0.04545456171
111,22,201,0.02761499397,0.2727272809,0.1363636404,0.1363636404
112,23,212,0.03193486854,0.8260869384,0.7391304374,0.08695650101
113,18,163,0.01952571608,1,0.8888888955,0.1111111045
114,6,52,0.03566253185,0.5,0,0.5
115,20,176,0.030501917,0.9499999881,0.75,0.1999999881
116,19,176,0.04514237866,0.6315789223,0.4210526347,0.2105262876
117,23,204,0.04283244163,0.6086956263,0.4782608747,0.1304347515
118,18,158,0.04231446609,0.3333333433,0.3333333433,0
119,17,156,0.01585710794,1,1,0
120,24,219,0.02729558945,0.8333333135,0.7916666865,0.04166662693
121,18,160,0.04630981013,0.777777791,0.5,0.277777791
122,17,151,0.04597061872,0.8823529482,0.7058823705,0.1764705777
123,19,175,0.04236248881,0.8421052694,0.6842105389,0.1578947306
124,23,211,0.0311982017,0.9565217495,0.9565217495,0
125,22,197,0.02959416434,0.9090909362,0.8636363745,0.04545456171
126,24,208,0.04474183917,0.5833333135,0.4583333433,0.1249999702
127,23,211,0.04904595017,0.8260869384,0.7826086879,0.0434782505
128,17,149,0.04741819203,0.7058823705,0.3529411852,0.3529411852
129,17,156,0.04086057097,0.8823529482,0.7058823705,0.1764705777
130,24,221,0.03461781517,0.4166666567,0.2916666567,0.125
131,24,220,0.04731579497,0.875,0.75,0.125
132,17,156,0.0497906059,0.7647058964,0.8235294223,-0.05882352591
133,24,217,0.0359888114,0.9166666865,0.8333333135,0.08333337307
134,19,175,0.04087687656,0.7368420959,0.4210526347,0.3157894611
135,20,179,0.03260425106,0.5,0.4499999881,0.05000001192
136,23,207,0.0381430164,0.8695651889,0.6956521869,0.173913002
137,16,145,0.02314666286,0.9375,0.9375,0
138,18,160,0.03608331457,0.8888888955,0.722222209,0.1666666865
139,22,196,0.04960935935,0.5909090638,0.4090909064,0.1818181574
140,23,195,0.04872217402,0.7391304374,0.3913043439,0.3478260934
141,19,170,0.04377778247,0.2105263174,0.1052631587,0.1052631587
142,24,216,0.04177816585,0.625,0.4583333433,0.1666666567
143,20,176,0.03183691204,0.8999999762,0.8500000238,0.04999995232
144,16,143,0.04101765528,0.5625,0.3125,0.25
145,9,82,0.05103466287,0.2222222239,0.2222222239,0
146,22,199,0.0251495,0.9090909362,0.9090909362,0
147,19,170,0.04643385857,0.8421052694,0.6842105389,0.1578947306
148,17,154,0.0370233953,0.5882353187,0.5294117928,0.05882352591
149,24,212,0.04857191443,0.7916666865,0.6666666865,0.125
150,22,199,0.02305363491,0.9545454383,0.8636363745,0.09090906382
151,20,175,0.03590650111,0.6000000238,0.5500000119,0.05000001192
152,16,140,0.02914023027,0.5,0.4375,0.0625
153,19,164,0.02936952934,0.8421052694,0.6842105389,0.1578947306
154,16,144,0.03456066176,0.9375,0.875,0.0625
155,22,202,0.049659729,0.6363636255,0.5,0.1363636255
156,22,202,0.02413362265,0.8636363745,0.6818181872,0.1818181872
157,24,212,0.04902635142,0.7916666865,0.625,0.1666666865
158,22,199,0.04374390841,0.5,0.4090909064,0.09090909362
159,19,171,0.03387364745,1,0.947368443,0.05263155699
160,24,214,0.02506399155,0.9583333135,0.875,0.08333331347
161,18,160,0.03416344523,0.8333333135,0.777777791,0.05555552244
162,23,210,0.04924496263,0.5217391253,0.3478260934,0.1739130318
163,15,138,0.03548387066,0.7333333492,0.6000000238,0.1333333254
164,23,204,0.02432929724,0.7826086879,0.7826086879,0
165,22,202,0.03325480223,0.9545454383,0.8636363745,0.09090906382
166,20,177,0.0462045297,0.6000000238,0.5,0.1000000238
167,23,204,0.04337413236,0.5217391253,0.3478260934,0.1739130318
168,24,215,0.03303233907,0.625,0.625,0
169,23,211,0.02628711052,0.913043499,0.8695651889,0.04347831011
170,19,168,0.02390950918,0.8421052694,0.8421052694,0
171,25,222,0.04231965914,0.4799999893,0.400000006,0.07999998331
172,25,221,0.04521342367,0.3600000143,0.2399999946,0.1200000197
173,22,191,0.02912266925,1,1,0
174,19,176,0.0534212701,0.6315789223,0.2631579041,0.3684210181
175,21,192,0.03749853745,0.8571428657,0.8095238209,0.04761904478
176,16,149,0.0202053152,0.9375,0.8125,0.125
177,22,199,0.04559211433,0.6818181872,0.5909090638,0.09090912342
178,17,151,0.03636984155,0.7647058964,0.7058823705,0.05882352591
179,22,202,0.04281600565,0.3181818128,0.2727272809,0.04545453191
180,23,209,0.03237916902,0.913043499,0.8695651889,0.04347831011
181,23,205,0.05322048813,0.5217391253,0.3478260934,0.1739130318
182,25,208,0.04366632923,0.8000000119,0.6399999857,0.1600000262
183,1,4,0.03080493212,0,0,0
184,24,214,0.03745600954,0.9583333135,0.8333333135,0.125
185,17,150,0.03385493904,0.8823529482,0.8235294223,0.05882352591
186,18,160,0.04870213941,0.722222209,0.6666666865,0.05555552244
187,19,170,0.03653140739,0.3684210479,0.3157894611,0.05263158679
188,18,164,0.04148545116,0.3888888955,0.277777791,0.1111111045
189,19,168,0.03471691906,0.7368420959,0.4736842215,0.2631578743
