label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
375,0375,155,139,16,139,16,covered_noisy_labels,head,15,0.9375,2780
376,0376,231,208,23,208,23,covered_noisy_labels,head,16,0.695652186870575,4160
377,0377,184,166,18,166,18,covered_noisy_labels,head,12,0.6666666865348816,3320
378,0378,156,140,16,140,16,covered_noisy_labels,head,8,0.5,2800
379,0379,154,139,15,139,15,covered_noisy_labels,head,11,0.7333333492279053,2780
380,0380,247,222,25,222,25,covered_noisy_labels,head,13,0.5199999809265137,4440
381,0381,187,168,19,169,19,covered_noisy_labels,head,10,0.5263158082962036,3380
382,0382,186,167,19,167,19,covered_noisy_labels,head,12,0.6315789222717285,3340
383,0383,195,175,20,176,20,covered_noisy_labels,head,3,0.15000000596046448,3520
384,0384,174,157,17,157,17,covered_noisy_labels,head,4,0.23529411852359772,3140
385,0385,189,170,19,170,19,covered_noisy_labels,head,12,0.6315789222717285,3400
386,0386,159,143,16,144,16,covered_noisy_labels,head,6,0.375,2880
387,0387,157,141,16,141,16,covered_noisy_labels,head,12,0.75,2820
388,0388,233,210,23,210,23,covered_noisy_labels,head,11,0.47826087474823,4200
389,0389,153,138,15,138,15,covered_noisy_labels,head,7,0.46666666865348816,2760
390,0390,221,199,22,199,22,covered_noisy_labels,head,12,0.5454545617103577,3980
391,0391,176,158,18,158,18,covered_noisy_labels,head,18,1.0,3160
392,0392,192,173,19,173,19,covered_noisy_labels,head,10,0.5263158082962036,3460
393,0393,180,162,18,163,18,covered_noisy_labels,head,7,0.3888888955116272,3260
394,0394,197,177,20,179,20,covered_noisy_labels,head,13,0.6499999761581421,3580
395,0395,221,199,22,203,22,covered_noisy_labels,head,22,1.0,4060
396,0396,222,200,22,201,22,covered_noisy_labels,head,5,0.22727273404598236,4020
397,0397,216,194,22,194,22,covered_noisy_labels,head,14,0.6363636255264282,3880
398,0398,185,167,18,168,18,covered_noisy_labels,head,14,0.7777777910232544,3360
399,0399,215,193,22,193,22,covered_noisy_labels,head,17,0.7727272510528564,3860
400,0400,153,138,15,138,15,covered_noisy_labels,head,7,0.46666666865348816,2760
401,0401,226,203,23,203,23,covered_noisy_labels,head,20,0.8695651888847351,4060
402,0402,246,221,25,221,25,covered_noisy_labels,head,11,0.4399999976158142,4420
403,0403,215,193,22,193,22,covered_noisy_labels,head,10,0.4545454680919647,3860
404,0404,171,154,17,154,17,covered_noisy_labels,head,11,0.6470588445663452,3080
405,0405,162,146,16,146,16,covered_noisy_labels,head,9,0.5625,2920
406,0406,170,153,17,153,17,covered_noisy_labels,head,16,0.9411764740943909,3060
407,0407,99,89,10,89,10,covered_noisy_labels,middle,1,0.10000000149011612,1780
408,0408,223,201,22,201,22,covered_noisy_labels,head,13,0.5909090638160706,4020
409,0409,177,159,18,161,18,covered_noisy_labels,head,13,0.7222222089767456,3220
410,0410,156,140,16,140,16,covered_noisy_labels,head,13,0.8125,2800
411,0411,228,205,23,205,23,covered_noisy_labels,head,12,0.52173912525177,4100
412,0412,217,195,22,195,22,covered_noisy_labels,head,16,0.7272727489471436,3900
413,0413,22,20,2,20,2,covered_noisy_labels,middle,0,0.0,400
414,0414,177,159,18,159,18,covered_noisy_labels,head,15,0.8333333134651184,3180
415,0415,157,141,16,141,16,covered_noisy_labels,head,15,0.9375,2820
416,0416,241,217,24,217,24,covered_noisy_labels,head,12,0.5,4340
417,0417,172,155,17,155,17,covered_noisy_labels,head,12,0.7058823704719543,3100
418,0418,150,135,15,135,15,covered_noisy_labels,head,11,0.7333333492279053,2700
419,0419,233,210,23,211,23,covered_noisy_labels,head,17,0.739130437374115,4220
420,0420,188,169,19,169,19,covered_noisy_labels,head,14,0.7368420958518982,3380
421,0421,245,221,24,221,24,covered_noisy_labels,head,22,0.9166666865348816,4420
422,0422,173,156,17,156,17,covered_noisy_labels,head,12,0.7058823704719543,3120
423,0423,225,203,22,203,22,covered_noisy_labels,head,17,0.7727272510528564,4060
424,0424,190,171,19,171,19,covered_noisy_labels,head,8,0.42105263471603394,3420
425,0425,193,174,19,174,19,covered_noisy_labels,head,19,1.0,3480
426,0426,226,203,23,203,23,covered_noisy_labels,head,7,0.30434781312942505,4060
427,0427,247,222,25,222,25,covered_noisy_labels,head,17,0.6800000071525574,4440
428,0428,176,158,18,158,18,covered_noisy_labels,head,14,0.7777777910232544,3160
429,0429,231,208,23,210,23,covered_noisy_labels,head,9,0.3913043439388275,4200
430,0430,231,208,23,210,23,covered_noisy_labels,head,14,0.6086956262588501,4200
431,0431,141,127,14,127,14,covered_noisy_labels,head,4,0.2857142984867096,2540
432,0432,227,204,23,206,24,covered_noisy_labels,head,5,0.2083333283662796,4120
433,0433,169,152,17,152,17,covered_noisy_labels,head,16,0.9411764740943909,3040
434,0434,245,221,24,221,24,covered_noisy_labels,head,18,0.75,4420
435,0435,190,171,19,171,19,covered_noisy_labels,head,16,0.8421052694320679,3420
436,0436,163,147,16,147,16,covered_noisy_labels,head,3,0.1875,2940
437,0437,178,160,18,160,18,covered_noisy_labels,head,15,0.8333333134651184,3200
438,0438,229,206,23,207,23,covered_noisy_labels,head,13,0.5652173757553101,4140
439,0439,220,198,22,198,22,covered_noisy_labels,head,18,0.8181818127632141,3960
440,0440,188,169,19,169,19,covered_noisy_labels,head,14,0.7368420958518982,3380
441,0441,213,192,21,193,21,covered_noisy_labels,head,14,0.6666666865348816,3860
442,0442,182,164,18,164,18,covered_noisy_labels,head,13,0.7222222089767456,3280
443,0443,169,152,17,152,17,covered_noisy_labels,head,15,0.8823529481887817,3040
444,0444,192,173,19,173,19,covered_noisy_labels,head,18,0.9473684430122375,3460
445,0445,195,175,20,176,20,covered_noisy_labels,head,15,0.75,3520
446,0446,228,205,23,205,23,covered_noisy_labels,head,12,0.52173912525177,4100
447,0447,194,175,19,175,19,covered_noisy_labels,head,18,0.9473684430122375,3500
448,0448,244,220,24,221,24,covered_noisy_labels,head,18,0.75,4420
449,0449,198,178,20,178,20,covered_noisy_labels,head,17,0.8500000238418579,3560
450,0450,242,218,24,218,24,covered_noisy_labels,head,14,0.5833333134651184,4360
451,0451,238,214,24,214,24,covered_noisy_labels,head,13,0.5416666865348816,4280
452,0452,179,161,18,161,18,covered_noisy_labels,head,12,0.6666666865348816,3220
453,0453,179,161,18,161,18,covered_noisy_labels,head,12,0.6666666865348816,3220
454,0454,233,210,23,210,23,covered_noisy_labels,head,15,0.6521739363670349,4200
455,0455,193,174,19,174,19,covered_noisy_labels,head,15,0.7894737124443054,3480
456,0456,241,217,24,218,24,covered_noisy_labels,head,7,0.2916666567325592,4360
457,0457,238,214,24,215,25,covered_noisy_labels,head,17,0.6800000071525574,4300
458,0458,139,125,14,125,14,covered_noisy_labels,head,7,0.5,2500
459,0459,183,165,18,165,19,covered_noisy_labels,head,12,0.6315789222717285,3300
460,0460,232,209,23,209,23,covered_noisy_labels,head,13,0.5652173757553101,4180
461,0461,217,195,22,195,22,covered_noisy_labels,head,17,0.7727272510528564,3900
462,0462,231,208,23,208,23,covered_noisy_labels,head,20,0.8695651888847351,4160
463,0463,217,195,22,195,22,covered_noisy_labels,head,11,0.5,3900
464,0464,183,165,18,165,18,covered_noisy_labels,head,11,0.6111111044883728,3300
465,0465,196,176,20,176,20,covered_noisy_labels,head,20,1.0,3520
466,0466,217,195,22,195,22,covered_noisy_labels,head,15,0.6818181872367859,3900
467,0467,195,175,20,175,20,covered_noisy_labels,head,4,0.20000000298023224,3500
468,0468,217,195,22,196,22,covered_noisy_labels,head,21,0.9545454382896423,3920
469,0469,232,209,23,209,23,covered_noisy_labels,head,10,0.43478259444236755,4180
470,0470,197,177,20,177,20,covered_noisy_labels,head,18,0.8999999761581421,3540
471,0471,212,191,21,193,21,covered_noisy_labels,head,11,0.523809552192688,3860
472,0472,242,218,24,218,24,covered_noisy_labels,head,18,0.75,4360
473,0473,235,211,24,211,24,covered_noisy_labels,head,12,0.5,4220
474,0474,163,147,16,147,16,covered_noisy_labels,head,10,0.625,2940
475,0475,192,173,19,173,19,covered_noisy_labels,head,3,0.15789473056793213,3460
476,0476,217,195,22,195,22,covered_noisy_labels,head,14,0.6363636255264282,3900
477,0477,198,178,20,178,20,covered_noisy_labels,head,17,0.8500000238418579,3560
478,0478,217,195,22,195,22,covered_noisy_labels,head,14,0.6363636255264282,3900
479,0479,184,166,18,167,18,covered_noisy_labels,head,10,0.5555555820465088,3340
480,0480,159,143,16,143,16,covered_noisy_labels,head,14,0.875,2860
481,0481,184,166,18,166,18,covered_noisy_labels,head,14,0.7777777910232544,3320
482,0482,228,205,23,205,23,covered_noisy_labels,head,11,0.47826087474823,4100
483,0483,247,222,25,222,25,covered_noisy_labels,head,6,0.23999999463558197,4440
484,0484,237,213,24,213,24,covered_noisy_labels,head,8,0.3333333432674408,4260
485,0485,199,179,20,179,20,covered_noisy_labels,head,5,0.25,3580
486,0486,190,171,19,171,19,covered_noisy_labels,head,15,0.7894737124443054,3420
487,0487,161,145,16,145,16,covered_noisy_labels,head,6,0.375,2900
488,0488,189,170,19,171,19,covered_noisy_labels,head,16,0.8421052694320679,3420
489,0489,193,174,19,174,19,covered_noisy_labels,head,18,0.9473684430122375,3480
490,0490,180,162,18,162,18,covered_noisy_labels,head,5,0.2777777910232544,3240
491,0491,226,203,23,203,23,covered_noisy_labels,head,12,0.52173912525177,4060
492,0492,229,206,23,207,23,covered_noisy_labels,head,6,0.260869562625885,4140
493,0493,212,191,21,191,22,covered_noisy_labels,head,11,0.5,3820
494,0494,223,201,22,201,22,covered_noisy_labels,head,18,0.8181818127632141,4020
495,0495,188,169,19,169,19,covered_noisy_labels,head,10,0.5263158082962036,3380
496,0496,241,217,24,219,24,covered_noisy_labels,head,19,0.7916666865348816,4380
497,0497,183,165,18,166,18,covered_noisy_labels,head,12,0.6666666865348816,3320
498,0498,129,116,13,116,13,covered_noisy_labels,head,10,0.7692307829856873,2320
499,0499,234,211,23,211,23,covered_noisy_labels,head,20,0.8695651888847351,4220
500,0500,234,211,23,212,23,covered_noisy_labels,head,9,0.3913043439388275,4240
501,0501,190,171,19,171,19,covered_noisy_labels,head,15,0.7894737124443054,3420
502,0502,242,218,24,219,24,covered_noisy_labels,head,14,0.5833333134651184,4380
503,0503,192,173,19,173,19,covered_noisy_labels,head,16,0.8421052694320679,3460
504,0504,230,207,23,209,23,covered_noisy_labels,head,4,0.17391304671764374,4180
505,0505,182,164,18,164,18,covered_noisy_labels,head,16,0.8888888955116272,3280
506,0506,219,197,22,197,22,covered_noisy_labels,head,16,0.7272727489471436,3940
507,0507,158,142,16,142,16,covered_noisy_labels,head,13,0.8125,2840
508,0508,174,157,17,157,17,covered_noisy_labels,head,7,0.4117647111415863,3140
509,0509,241,217,24,217,24,covered_noisy_labels,head,17,0.7083333134651184,4340
510,0510,224,202,22,202,22,covered_noisy_labels,head,17,0.7727272510528564,4040
511,0511,160,144,16,145,16,covered_noisy_labels,head,13,0.8125,2900
512,0512,172,155,17,155,17,covered_noisy_labels,head,17,1.0,3100
513,0513,228,205,23,205,23,covered_noisy_labels,head,20,0.8695651888847351,4100
514,0514,185,167,18,167,18,covered_noisy_labels,head,14,0.7777777910232544,3340
515,0515,154,139,15,139,15,covered_noisy_labels,head,14,0.9333333373069763,2780
516,0516,190,171,19,172,19,covered_noisy_labels,head,11,0.5789473652839661,3440
517,0517,177,159,18,159,18,covered_noisy_labels,head,11,0.6111111044883728,3180
518,0518,186,167,19,167,19,covered_noisy_labels,head,15,0.7894737124443054,3340
519,0519,218,196,22,197,22,covered_noisy_labels,head,15,0.6818181872367859,3940
520,0520,229,206,23,206,23,covered_noisy_labels,head,20,0.8695651888847351,4120
521,0521,198,178,20,178,20,covered_noisy_labels,head,18,0.8999999761581421,3560
522,0522,227,204,23,204,23,covered_noisy_labels,head,12,0.52173912525177,4080
523,0523,215,193,22,193,22,covered_noisy_labels,head,17,0.7727272510528564,3860
524,0524,194,175,19,175,19,covered_noisy_labels,head,10,0.5263158082962036,3500
525,0525,239,215,24,215,24,covered_noisy_labels,head,8,0.3333333432674408,4300
