experiment_id,source_commit,best_epoch,trainable_parameters,total_parameters,raw_val_micro,clean_core_micro,flip_agreement,feature_drift,inference,submission_zip_sha256,platform_accuracy
AEGIS_F1_VISUAL_LORA_CLEAN_CORE,d542fc6,4,403956,88253172,0.7067661881,0.8153055906,0.8884257674,0.0040813088,bare,6c81b7e38d5688cd67c36cb50868c2de507e0fc4fef3b69b9180c65f29f7a363,0.605159
AEGIS_F1_VISUAL_LORA_CLEAN_CORE,d542fc6,4,403956,88253172,0.7103528380,0.8154407740,0.8884257674,0.0040813088,horizontal_flip_mean_prob_t0.5,5773f52944af998ac349b7091386282484d8c7dcbc8af296461ae1978dd96657,0.611007
