candidate_id,base_checkpoint_sha,train_seed,training_recipe,selected_epoch,center_macro,center_micro,decode_macro,decode_micro,delta_vs_l05,affected_samples,corrections,regressions,status,platform_score
NEW01,35d17c0c3b9f281e13353959d098c2713def6b7d508d334de5d3a7e769cd2397,42,"stage2:3ep,backbone_lr=3e-06,head_lr=0.0001,cosine,eff_batch=1024",2,0.7526594996452332,0.7629704475402832,0.7579296827316284,0.7663306593894958,-0.0335,133815,208,158,fail,
NEW02,35d17c0c3b9f281e13353959d098c2713def6b7d508d334de5d3a7e769cd2397,42,"stage2:3ep,backbone_lr=3e-06,head_lr=0.0001,cosine,eff_batch=1024",2,0.7537389993667603,0.7643145322799683,0.7584086656570435,0.7665994763374329,0.0144,133815,211,177,weak,
NEW03,35d17c0c3b9f281e13353959d098c2713def6b7d508d334de5d3a7e769cd2397,42,"stage2:3ep,backbone_lr=3e-06,head_lr=0.0001,cosine,eff_batch=1024",3,0.7543330192565918,0.7648521661758423,0.7588805556297302,0.7670027017593384,0.0615,3527,199,167,weak,
