experiment_id,parent,linear_soup,prototype_fit,prototype_head,tta,strict_local_micro,online_accuracy,vs_team_best_pp,status,checkpoint_sha256,prediction_csv_sha256,submission_zip_sha256
E20_E2_SOUP35_44_K7P4,E2_MIXUP_CE5_REPLICA,"epoch35/44 alpha=0.4; non-classifier tensors bit-identical","development train; mean(original,hflip); uniform weights","K=7; max; alpha=0.4; scale=58.307098","horizontal flip; mean probabilities; T=1",0.711710,0.601794,-0.2964pp,valid_not_promoted,4ef590196d52dfcfe13016d2f72ac72cc81114575596edffc8a1945931a2ffa6,f42bc99ec46b58302a05e9eb3b5d2f4823e785f2a5c207c3f3e7e64e35890b42,37e524ef7aae81880b825595a26c90d272bb16753eac20222bf08349a5771a97
E21_E8_FULLTRAIN_K7P4,E8_FULL_TRAIN_MIXUP_CONTINUATION,none,"all official training images; mean(original,hflip); uniform weights","K=7; max; alpha=0.4; scale=58.307098","horizontal flip; mean probabilities; T=1",,,pending,pending_platform,eda1501455d44bd9327ffad934f5f4e9f522e303d11420a39160ea0e547835e8,673cefc0315ab6859eda1ee77646861d2713939e886c90769b6654aecef05334,52a4ed874a745c818790de09b1b287c9845c36f13c402523e46e9662ffc97b5c
