epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.470924,0.795973,0.562217,0.711710,,,0,0.00005000,0.00000000,0.022143,0.000000,153.55
2,0.466923,0.797691,0.562213,0.711322,,,0,0.00010000,0.00000000,0.022112,0.000000,151.82
3,0.469525,0.795513,0.562156,0.711225,,,0,0.00009856,0.00000000,0.022108,0.000000,152.22
4,0.473809,0.793817,0.562114,0.711516,,,0,0.00009433,0.00000000,0.022127,0.000000,149.68
5,0.468708,0.796345,0.562068,0.711516,,,0,0.00008755,0.00000000,0.022096,0.000000,150.67
6,0.474856,0.794517,0.562025,0.711419,,,0,0.00007862,0.00000000,0.022124,0.000000,147.71
