epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,6.001938,0.147202,5.587104,0.337287,0.00100000,141.10
2,5.112919,0.400780,4.754957,0.462831,0.00050500,148.89
epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,6.001938,0.147202,5.587104,0.337287,0.00100000,142.25
2,5.071417,0.399190,4.602511,0.462139,0.00099391,153.22
3,4.221790,0.479550,3.900338,0.498517,0.00097577,150.15
4,3.618903,0.517205,3.408992,0.521056,0.00094605,151.33
5,3.195521,0.543694,3.065054,0.539047,0.00090546,148.42
6,2.894539,0.565058,2.818986,0.556346,0.00085502,150.06
7,2.674992,0.581832,2.638681,0.571570,0.00079595,149.67
8,2.511250,0.594320,2.503579,0.582543,0.00072973,151.59
9,2.386635,0.604991,2.401069,0.589363,0.00065796,149.93
10,2.290915,0.613039,2.322034,0.595393,0.00058244,146.34
11,2.216030,0.619315,2.260943,0.599249,0.00050500,154.06
12,2.157693,0.625215,2.213773,0.604389,0.00042756,148.96
13,2.112554,0.629094,2.177334,0.606366,0.00035204,148.80
14,2.077590,0.632737,2.149757,0.609035,0.00028027,148.64
15,2.050805,0.635499,2.129282,0.610617,0.00021405,148.37
16,2.031129,0.637584,2.114500,0.612001,0.00015498,149.18
17,2.017301,0.639110,2.104457,0.612792,0.00010454,148.52
18,2.008000,0.640249,2.098078,0.613286,0.00006395,149.76
19,2.001918,0.640926,2.094425,0.613484,0.00003423,151.42
20,1.998946,0.641248,2.092592,0.613780,0.00001609,152.73
epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,6.001938,0.147202,5.587104,0.337287,0.00100000,134.09
2,5.071417,0.399190,4.602511,0.462139,0.00099391,162.68
epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,6.001938,0.147202,5.587104,0.337287,0.00100000,141.75
2,5.112919,0.400780,4.754957,0.462831,0.00050500,150.68
