label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
654,0654,182,164,18,164,18,covered_noisy_labels,head,13,0.7222222089767456,1312
655,0655,177,159,18,159,18,covered_noisy_labels,head,15,0.8333333134651184,1272
656,0656,210,189,21,192,22,covered_noisy_labels,head,11,0.5,1536
657,0657,192,173,19,173,19,covered_noisy_labels,head,16,0.8421052694320679,1384
658,0658,174,157,17,158,17,covered_noisy_labels,head,15,0.8823529481887817,1264
659,0659,151,136,15,136,15,covered_noisy_labels,head,12,0.800000011920929,1088
660,0660,177,159,18,159,18,covered_noisy_labels,head,15,0.8333333134651184,1272
661,0661,185,167,18,167,18,covered_noisy_labels,head,15,0.8333333134651184,1336
662,0662,184,166,18,169,18,covered_noisy_labels,head,14,0.7777777910232544,1352
663,0663,163,147,16,148,16,covered_noisy_labels,head,12,0.75,1184
664,0664,234,211,23,211,23,covered_noisy_labels,head,19,0.8260869383811951,1688
665,0665,222,200,22,201,22,covered_noisy_labels,head,16,0.7272727489471436,1608
666,0666,184,166,18,166,18,covered_noisy_labels,head,15,0.8333333134651184,1328
667,0667,232,209,23,209,23,covered_noisy_labels,head,16,0.695652186870575,1672
668,0668,185,167,18,167,18,covered_noisy_labels,head,4,0.2222222238779068,1336
669,0669,189,170,19,170,19,covered_noisy_labels,head,16,0.8421052694320679,1360
670,0670,165,149,16,149,16,covered_noisy_labels,head,14,0.875,1192
671,0671,40,36,4,37,4,covered_noisy_labels,middle,0,0.0,296
672,0672,179,161,18,161,18,covered_noisy_labels,head,14,0.7777777910232544,1288
673,0673,242,218,24,218,24,covered_noisy_labels,head,18,0.75,1744
674,0674,232,209,23,210,23,covered_noisy_labels,head,21,0.9130434989929199,1680
675,0675,222,200,22,201,22,covered_noisy_labels,head,13,0.5909090638160706,1608
676,0676,172,155,17,155,17,covered_noisy_labels,head,10,0.5882353186607361,1240
677,0677,154,139,15,140,15,covered_noisy_labels,head,10,0.6666666865348816,1120
678,0678,180,162,18,162,18,covered_noisy_labels,head,10,0.5555555820465088,1296
679,0679,152,137,15,137,15,covered_noisy_labels,head,10,0.6666666865348816,1096
680,0680,184,166,18,166,18,covered_noisy_labels,head,16,0.8888888955116272,1328
681,0681,174,157,17,157,17,covered_noisy_labels,head,12,0.7058823704719543,1256
682,0682,84,76,8,76,8,covered_noisy_labels,middle,2,0.25,608
683,0683,220,198,22,198,22,covered_noisy_labels,head,17,0.7727272510528564,1584
684,0684,179,161,18,161,18,covered_noisy_labels,head,13,0.7222222089767456,1288
685,0685,192,173,19,173,19,covered_noisy_labels,head,17,0.8947368264198303,1384
686,0686,150,135,15,135,15,covered_noisy_labels,head,8,0.5333333611488342,1080
687,0687,169,152,17,152,17,covered_noisy_labels,head,13,0.7647058963775635,1216
688,0688,181,163,18,163,18,covered_noisy_labels,head,12,0.6666666865348816,1304
689,0689,190,171,19,171,19,covered_noisy_labels,head,18,0.9473684430122375,1368
690,0690,234,211,23,211,23,covered_noisy_labels,head,18,0.782608687877655,1688
691,0691,182,164,18,164,18,covered_noisy_labels,head,18,1.0,1312
692,0692,176,158,18,158,18,covered_noisy_labels,head,16,0.8888888955116272,1264
693,0693,171,154,17,154,17,covered_noisy_labels,head,12,0.7058823704719543,1232
694,0694,192,173,19,173,19,covered_noisy_labels,head,11,0.5789473652839661,1384
695,0695,237,213,24,213,24,covered_noisy_labels,head,16,0.6666666865348816,1704
696,0696,190,171,19,171,19,covered_noisy_labels,head,15,0.7894737124443054,1368
697,0697,186,167,19,167,19,covered_noisy_labels,head,18,0.9473684430122375,1336
698,0698,195,175,20,176,20,covered_noisy_labels,head,19,0.949999988079071,1408
699,0699,194,175,19,176,20,covered_noisy_labels,head,18,0.8999999761581421,1408
700,0700,245,221,24,222,24,covered_noisy_labels,head,20,0.8333333134651184,1776
701,0701,214,193,21,193,21,covered_noisy_labels,head,21,1.0,1544
702,0702,172,155,17,155,17,covered_noisy_labels,head,16,0.9411764740943909,1240
703,0703,161,145,16,145,16,covered_noisy_labels,head,13,0.8125,1160
704,0704,232,209,23,209,23,covered_noisy_labels,head,21,0.9130434989929199,1672
705,0705,186,167,19,167,19,covered_noisy_labels,head,17,0.8947368264198303,1336
706,0706,149,134,15,134,15,covered_noisy_labels,head,8,0.5333333611488342,1072
707,0707,216,194,22,194,22,covered_noisy_labels,head,9,0.40909090638160706,1552
708,0708,178,160,18,160,18,covered_noisy_labels,head,10,0.5555555820465088,1280
709,0709,175,157,18,157,18,covered_noisy_labels,head,18,1.0,1256
710,0710,237,213,24,213,24,covered_noisy_labels,head,21,0.875,1704
711,0711,199,179,20,179,20,covered_noisy_labels,head,17,0.8500000238418579,1432
712,0712,237,213,24,215,24,covered_noisy_labels,head,18,0.75,1720
713,0713,161,145,16,145,17,covered_noisy_labels,head,11,0.6470588445663452,1160
714,0714,180,162,18,162,18,covered_noisy_labels,head,12,0.6666666865348816,1296
715,0715,193,174,19,176,19,covered_noisy_labels,head,13,0.6842105388641357,1408
716,0716,197,177,20,177,20,covered_noisy_labels,head,11,0.550000011920929,1416
717,0717,198,178,20,178,20,covered_noisy_labels,head,12,0.6000000238418579,1424
718,0718,220,198,22,198,22,covered_noisy_labels,head,19,0.8636363744735718,1584
719,0719,192,173,19,173,19,covered_noisy_labels,head,15,0.7894737124443054,1384
720,0720,225,203,22,203,22,covered_noisy_labels,head,14,0.6363636255264282,1624
721,0721,214,193,21,193,21,covered_noisy_labels,head,12,0.5714285969734192,1544
722,0722,155,139,16,140,16,covered_noisy_labels,head,15,0.9375,1120
723,0723,101,91,10,92,10,covered_noisy_labels,middle,1,0.10000000149011612,736
724,0724,153,138,15,140,15,covered_noisy_labels,head,13,0.8666666746139526,1120
725,0725,247,222,25,222,25,covered_noisy_labels,head,16,0.6399999856948853,1776
726,0726,186,167,19,168,19,covered_noisy_labels,head,7,0.3684210479259491,1344
727,0727,237,213,24,213,24,covered_noisy_labels,head,23,0.9583333134651184,1704
728,0728,217,195,22,195,22,covered_noisy_labels,head,2,0.09090909361839294,1560
