candidate,selected_epoch,raw_macro,raw_micro,fixed_tail75_macro,rest675_macro,successful_optimizer_updates,training_seconds,train_cli_seconds,platform_score,decision
RM_FT,8,0.7183619737625122,0.7290322780609131,0.5558266850312551,0.7364214455584684,33456,,,60.96570879179575,retained_platform_baseline
RM_LT,8,0.7186554074287415,0.7269489169120789,0.5814854148030281,0.73389661266296,33456,,,60.885589146458706,closed_sampling_comparison
RM_FT_NPU_THROUGHPUT,8,0.6737037897109985,0.6842069625854492,0.5132931066552798,0.6915272320089517,1048,935.4922641103622,1084.8896343708038,,closed_accuracy_regression
RM_LORA,6,0.6410635709762573,0.6514784693717957,0.47444023718436557,0.6595772522356775,33456,3564.8605672180056,3726.6382265090942,,closed_accuracy_regression
RM_FT_NPU_TUNED,8,0.7190471887588501,0.7298387289047241,0.5607286457220714,0.7366381135086219,33456,2670.4595781341195,2870.8718118667603,,below_promotion_gate
